"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"219",95.157501,41.703171,30.627583,20.283222,9.656776,20.383432,27.444733,20.624846,25.482353,25.105124
"220",95.022903,41.491146,30.56805,20.22489,9.702026,20.454971,27.228333,20.632029,25.560976,25.113245
"221",93.542496,40.715919,30.151287,19.858225,9.540431,20.214325,26.640949,20.402142,25.152122,24.74799
"222",93.590012,40.881565,30.414949,19.866558,9.475795,20.207829,26.633219,20.409327,25.167845,24.788574
"223",94.967491,41.782692,30.678619,20.199886,9.60507,20.32489,27.135593,20.682314,25.678913,25.13759
"224",95.228706,42.133865,30.823208,20.258224,9.60507,20.246847,27.35199,20.696678,25.757536,25.16194
"225",95.149582,42.001343,30.967806,20.374887,9.462868,20.305376,27.421547,20.696678,25.702494,25.170057
"226",93.772079,41.179741,30.508522,20.074892,9.314203,20.084246,26.895988,20.452429,25.348686,24.804806
"227",95.157501,41.921829,31.137907,20.408222,9.456403,20.207829,27.413813,20.610479,25.922644,25.040194
"228",94.049156,41.418262,30.882738,20.208221,9.320666,20.071241,26.950085,20.473982,25.710358,24.821035
"229",94.33416,41.696552,30.814716,20.15822,9.398232,20.032217,27.181965,20.438066,25.702494,24.796688
"230",93.803734,41.550789,30.74667,19.958223,9.34652,20.006189,27.19743,20.344675,25.639593,24.569414
"231",95.798729,42.783199,31.401577,20.383223,9.53397,20.240343,27.939375,20.675133,26.300051,25.040194
"232",97.025803,43.419281,31.80983,20.624895,9.779587,20.298874,28.364462,20.689497,26.708893,25.234991
"233",97.287064,43.611435,31.82683,20.674885,9.811908,20.344406,28.604036,20.696678,26.763931,25.234991
"234",97.18412,43.757198,31.860851,20.674885,9.798981,20.285872,28.650417,20.646399,26.748207,25.072657
"235",97.239563,43.591568,31.877872,20.699886,9.811908,20.149284,28.689053,20.761339,26.818966,25.088892
"236",97.595802,43.386143,31.792809,20.874891,9.9735,20.077734,28.387642,20.840363,26.724621,25.113245
"237",97.975777,43.485546,31.835348,20.891558,10.09631,20.162296,28.542227,20.897831,26.803249,25.153824
"238",98.545792,43.664444,31.945906,20.991554,10.186805,20.240343,28.789537,20.933754,27.046984,25.397327
"239",98.609123,44.035477,31.792809,20.949888,10.180341,20.337902,28.944117,20.933754,27.062702,25.437912
"240",98.696198,43.830082,31.784315,20.983217,10.089848,20.389927,28.920933,21.034327,27.188517,25.697649
"241",98.244957,43.591568,31.682241,20.899891,10.005818,20.214325,28.76635,21.055872,27.078424,25.616478
"242",98.814934,43.836712,31.911886,20.933218,10.018744,20.396437,29.036846,21.242662,27.377209,25.795048
"243",98.920792,43.852005,31.963217,20.975042,10.074537,20.502405,29.265156,21.275988,27.295818,25.839109
"244",99.159554,44.138199,32.151451,20.99176,10.081019,20.528732,29.358654,21.254248,27.287903,25.830948
"245",99.788246,44.584095,32.288326,21.117214,10.256176,20.535315,29.654728,21.203522,27.509186,25.765678
"246",100.098648,44.737183,32.331089,21.092119,10.372945,20.627455,29.639135,21.297722,27.572401,25.839109
"247",99.95536,44.86364,32.194221,21.083757,10.295097,20.640623,29.717047,21.304974,27.517086,25.82279
"248",99.995171,44.703892,32.100105,21.12558,10.385916,20.653784,29.763802,21.203522,27.564507,25.773832
"249",100.13842,44.870293,32.031654,21.100481,10.385916,20.726191,29.826139,21.261494,27.548693,25.790161
"250",100.21006,45.316189,32.134342,21.142298,10.366461,20.653784,29.950802,21.268742,27.572401,25.798313
"251",100.050873,45.356121,32.074448,21.092119,10.334023,20.620872,29.950802,21.23251,27.524992,25.708567
"252",100.074738,45.422684,32.005997,21.067034,10.346993,20.627455,29.927431,21.239754,27.556597,25.700403
